scientificname,group,basetree
Amolops hongkongensis,Amphibians,amphibiantree
Amolops indoburmanensis,Amphibians,amphibiantree
Amolops iriodes,Amphibians,amphibiantree
Amolops jaunsari,Amphibians,amphibiantree
Amolops jinjiangensis,Amphibians,amphibiantree
Amolops kangtingensis,Amphibians,amphibiantree
Amolops kaulbacki,Amphibians,amphibiantree
Amolops kohimaensis,Amphibians,amphibiantree
Amolops larutensis,Amphibians,amphibiantree
Amolops liangshanensis,Amphibians,amphibiantree
Amolops lifanensis,Amphibians,amphibiantree
Amolops loloensis,Amphibians,amphibiantree
Amolops longimanus,Amphibians,amphibiantree
Amolops mantzorum,Amphibians,amphibiantree
Amolops marmoratus,Amphibians,amphibiantree
Amolops medogensis,Amphibians,amphibiantree
Amolops mengyangensis,Amphibians,amphibiantree
Amolops minutus,Amphibians,amphibiantree
Amolops monticola,Amphibians,amphibiantree
Amolops nidorbellus,Amphibians,amphibiantree
Amolops panhai,Amphibians,amphibiantree
Amolops ricketti,Amphibians,amphibiantree
Amolops spinapectoralis,Amphibians,amphibiantree
Amolops splendissimus,Amphibians,amphibiantree
Amolops torrentis,Amphibians,amphibiantree
Amolops tuberodepressus,Amphibians,amphibiantree
Amolops viridimaculatus,Amphibians,amphibiantree
Amolops vitreus,Amphibians,amphibiantree
Amolops wuyiensis,Amphibians,amphibiantree
Amphiuma means,Amphibians,amphibiantree
Amphiuma pholeter,Amphibians,amphibiantree
Amphiuma tridactylum,Amphibians,amphibiantree
Anaxyrus americanus,Amphibians,amphibiantree
Anaxyrus baxteri,Amphibians,amphibiantree
Anaxyrus boreas,Amphibians,amphibiantree
Anaxyrus californicus,Amphibians,amphibiantree
Anaxyrus canorus,Amphibians,amphibiantree
Anaxyrus cognatus,Amphibians,amphibiantree
Anaxyrus compactilis,Amphibians,amphibiantree
Anaxyrus debilis,Amphibians,amphibiantree
Anaxyrus exsul,Amphibians,amphibiantree
Anaxyrus fowleri,Amphibians,amphibiantree
Anaxyrus hemiophrys,Amphibians,amphibiantree
Anaxyrus houstonensis,Amphibians,amphibiantree
Anaxyrus kelloggi,Amphibians,amphibiantree
Anaxyrus mexicanus,Amphibians,amphibiantree
Anaxyrus microscaphus,Amphibians,amphibiantree
Anaxyrus nelsoni,Amphibians,amphibiantree
Anaxyrus punctatus,Amphibians,amphibiantree
Anaxyrus quercicus,Amphibians,amphibiantree
Anaxyrus retiformis,Amphibians,amphibiantree
Anaxyrus speciosus,Amphibians,amphibiantree
Anaxyrus terrestris,Amphibians,amphibiantree
Anaxyrus woodhousii,Amphibians,amphibiantree
Andinobates abditus,Amphibians,amphibiantree
Andinobates altobueyensis,Amphibians,amphibiantree
Andinobates bombetes,Amphibians,amphibiantree
Andinobates cassidyhornae,Amphibians,amphibiantree
Andinobates claudiae,Amphibians,amphibiantree
Andinobates daleswansoni,Amphibians,amphibiantree
Andinobates dorisswansonae,Amphibians,amphibiantree
Andinobates fulguritus,Amphibians,amphibiantree
Andinobates minutus,Amphibians,amphibiantree
Andinobates opisthomelas,Amphibians,amphibiantree
Andinobates tolimensis,Amphibians,amphibiantree
Andinobates viridis,Amphibians,amphibiantree
Andinobates virolinensis,Amphibians,amphibiantree
Andinophryne atelopoides,Amphibians,amphibiantree
