scientificname,group,basetree 
Bunopus blanfordii,Squamates,squamatetree
Bunopus crassicauda,Squamates,squamatetree
Bunopus spatalurus,Squamates,squamatetree
Bunopus tuberculatus,Squamates,squamatetree
Caaeteboia amarali,Squamates,squamatetree
Cacophis churchilli,Squamates,squamatetree
Cacophis harriettae,Squamates,squamatetree
Cacophis krefftii,Squamates,squamatetree
Cacophis squamulosus,Squamates,squamatetree
Cadea blanoides,Squamates,squamatetree
Cadea palirostrata,Squamates,squamatetree
Calabaria reinhardtii,Squamates,squamatetree
Calamaria abramovi,Squamates,squamatetree
Calamaria abstrusa,Squamates,squamatetree
Calamaria acutirostris,Squamates,squamatetree
Calamaria albiventer,Squamates,squamatetree
Calamaria alidae,Squamates,squamatetree
Calamaria apraeocularis,Squamates,squamatetree
Calamaria banggaiensis,Squamates,squamatetree
Calamaria battersbyi,Squamates,squamatetree
Calamaria bicolor,Squamates,squamatetree
Calamaria bitorques,Squamates,squamatetree
Calamaria boesemani,Squamates,squamatetree
Calamaria borneensis,Squamates,squamatetree
Calamaria brongersmai,Squamates,squamatetree
Calamaria buchi,Squamates,squamatetree
Calamaria butonensis,Squamates,squamatetree
Calamaria ceramensis,Squamates,squamatetree
Calamaria concolor,Squamates,squamatetree
Calamaria crassa,Squamates,squamatetree
Calamaria curta,Squamates,squamatetree
Calamaria doederleini,Squamates,squamatetree
Calamaria eiselti,Squamates,squamatetree
Calamaria everetti,Squamates,squamatetree
Calamaria forcarti,Squamates,squamatetree
Calamaria gervaisii,Squamates,squamatetree
Calamaria gialaiensis,Squamates,squamatetree
Calamaria grabowskyi,Squamates,squamatetree
Calamaria gracillima,Squamates,squamatetree
Calamaria griswoldi,Squamates,squamatetree
Calamaria hilleniusi,Squamates,squamatetree
Calamaria ingeri,Squamates,squamatetree
Calamaria javanica,Squamates,squamatetree
Calamaria joloensis,Squamates,squamatetree
Calamaria lateralis,Squamates,squamatetree
Calamaria lautensis,Squamates,squamatetree
Calamaria leucogaster,Squamates,squamatetree
Calamaria linnaei,Squamates,squamatetree
Calamaria longirostris,Squamates,squamatetree
Calamaria lovii,Squamates,squamatetree
Calamaria lumbricoidea,Squamates,squamatetree
Calamaria lumholtzi,Squamates,squamatetree
Calamaria margaritophora,Squamates,squamatetree
Calamaria mecheli,Squamates,squamatetree
Calamaria melanota,Squamates,squamatetree
Calamaria modesta,Squamates,squamatetree
Calamaria muelleri,Squamates,squamatetree
Calamaria nuchalis,Squamates,squamatetree
Calamaria palawanensis,Squamates,squamatetree
Calamaria pavimentata,Squamates,squamatetree
Calamaria pfefferi,Squamates,squamatetree
Calamaria prakkei,Squamates,squamatetree
Calamaria rebentischi,Squamates,squamatetree
Calamaria sangi,Squamates,squamatetree
Calamaria schlegeli,Squamates,squamatetree
Calamaria schmidti,Squamates,squamatetree
Calamaria septentrionalis,Squamates,squamatetree
Calamaria suluensis,Squamates,squamatetree
Calamaria sumatrana,Squamates,squamatetree
Calamaria thanhi,Squamates,squamatetree
Calamaria ulmeri,Squamates,squamatetree
Calamaria virgulata,Squamates,squamatetree
Calamaria yunnanensis,Squamates,squamatetree
Calamodontophis paucidens,Squamates,squamatetree
Calamodontophis ronaldoi,Squamates,squamatetree
Calamophis jobiensis,Squamates,squamatetree
Calamophis katesandersae,Squamates,squamatetree
Calamophis ruuddelangi,Squamates,squamatetree
Calamophis sharonbrooksae,Squamates,squamatetree
Calamorhabdium acuticeps,Squamates,squamatetree
Calamorhabdium kuekenthali,Squamates,squamatetree
Caledoniscincus aquilonius,Squamates,squamatetree
Caledoniscincus atropunctatus,Squamates,squamatetree
Caledoniscincus auratus,Squamates,squamatetree
Caledoniscincus austrocaledonicus,Squamates,squamatetree
Caledoniscincus chazeaui,Squamates,squamatetree
Caledoniscincus constellatus,Squamates,squamatetree
Caledoniscincus cryptos,Squamates,squamatetree
Caledoniscincus festivus,Squamates,squamatetree
Caledoniscincus haplorhinus,Squamates,squamatetree
Caledoniscincus notialis,Squamates,squamatetree
Caledoniscincus orestes,Squamates,squamatetree
Caledoniscincus pelletieri,Squamates,squamatetree
Caledoniscincus renevieri,Squamates,squamatetree
Caledoniscincus terma,Squamates,squamatetree
Calliophis beddomei,Squamates,squamatetree
Calliophis bibroni,Squamates,squamatetree
Calliophis bivirgata,Squamates,squamatetree
Calliophis castoe,Squamates,squamatetree
Calliophis gracilis,Squamates,squamatetree
Calliophis haematoetron,Squamates,squamatetree
Calliophis intestinalis,Squamates,squamatetree
Calliophis maculiceps,Squamates,squamatetree
Calliophis melanurus,Squamates,squamatetree
Calliophis nigrescens,Squamates,squamatetree
Callisaurus draconoides,Squamates,squamatetree
Callopistes flavipunctatus,Squamates,squamatetree
Callopistes maculatus,Squamates,squamatetree
Calloselasma rhodostoma,Squamates,squamatetree
Calodactylodes aureus,Squamates,squamatetree
Calodactylodes illingworthorum,Squamates,squamatetree
Calotes aurantolabium,Squamates,squamatetree
Calotes bachae,Squamates,squamatetree
Calotes bhutanensis,Squamates,squamatetree
Calotes calotes,Squamates,squamatetree
Calotes ceylonensis,Squamates,squamatetree
Calotes chincollium,Squamates,squamatetree
Calotes desilvai,Squamates,squamatetree
Calotes ellioti,Squamates,squamatetree
Calotes emma,Squamates,squamatetree
Calotes grandisquamis,Squamates,squamatetree
Calotes htunwini,Squamates,squamatetree
Calotes irawadi,Squamates,squamatetree
Calotes jerdoni,Squamates,squamatetree
Calotes liocephalus,Squamates,squamatetree
Calotes liolepis,Squamates,squamatetree
Calotes manamendrai,Squamates,squamatetree
Calotes maria,Squamates,squamatetree
Calotes medogensis,Squamates,squamatetree
Calotes mystaceus,Squamates,squamatetree
Calotes nemoricola,Squamates,squamatetree
Calotes nigrilabris,Squamates,squamatetree
Calotes nigriplicatus,Squamates,squamatetree
Calotes pethiyagodai,Squamates,squamatetree
Calotes rouxii,Squamates,squamatetree
Calotes versicolor,Squamates,squamatetree
Calumma amber,Squamates,squamatetree
Calumma ambreense,Squamates,squamatetree
Calumma andringitraense,Squamates,squamatetree
Calumma boettgeri,Squamates,squamatetree
Calumma brevicorne,Squamates,squamatetree
Calumma capuroni,Squamates,squamatetree
Calumma crypticum,Squamates,squamatetree
Calumma cucullatum,Squamates,squamatetree
Calumma fallax,Squamates,squamatetree
Calumma furcifer,Squamates,squamatetree
Calumma gallus,Squamates,squamatetree
Calumma gastrotaenia,Squamates,squamatetree
Calumma glawi,Squamates,squamatetree
Calumma globifer,Squamates,squamatetree
Calumma guibei,Squamates,squamatetree
Calumma guillaumeti,Squamates,squamatetree
Calumma hafahafa,Squamates,squamatetree
Calumma hilleniusi,Squamates,squamatetree
Calumma jejy,Squamates,squamatetree
Calumma malthe,Squamates,squamatetree
Calumma marojezense,Squamates,squamatetree
Calumma nasutum,Squamates,squamatetree
Calumma oshaughnessyi,Squamates,squamatetree
Calumma parsonii,Squamates,squamatetree
Calumma peltierorum,Squamates,squamatetree
Calumma peyrierasi,Squamates,squamatetree
Calumma tarzan,Squamates,squamatetree
Calumma tsaratananense,Squamates,squamatetree
Calumma tsycorne,Squamates,squamatetree
Calumma vatosoa,Squamates,squamatetree
Calumma vencesi,Squamates,squamatetree
Calumma vohibola,Squamates,squamatetree
Calyptommatus confusionibus,Squamates,squamatetree
Calyptommatus leiolepis,Squamates,squamatetree
Calyptommatus nicterus,Squamates,squamatetree
Calyptommatus sinebrachiatus,Squamates,squamatetree
Calyptotis lepidorostrum,Squamates,squamatetree
Calyptotis ruficauda,Squamates,squamatetree
Calyptotis scutirostrum,Squamates,squamatetree
Calyptotis temporalis,Squamates,squamatetree
Calyptotis thorntonensis,Squamates,squamatetree
Candoia aspera,Squamates,squamatetree
Candoia bibroni,Squamates,squamatetree
Candoia carinata,Squamates,squamatetree
Candoia paulsoni,Squamates,squamatetree
Candoia superciliosa,Squamates,squamatetree
Cantoria violacea,Squamates,squamatetree
Caparaonia itaiquara,Squamates,squamatetree
Capitellum mariagalantae,Squamates,squamatetree
Capitellum metallicum,Squamates,squamatetree
Capitellum parvicruzae,Squamates,squamatetree
Caraiba andreae,Squamates,squamatetree
Carlia aenigma,Squamates,squamatetree
Carlia ailanpalai,Squamates,squamatetree
Carlia amax,Squamates,squamatetree
Carlia aramia,Squamates,squamatetree
Carlia babarensis,Squamates,squamatetree
Carlia beccarii,Squamates,squamatetree
Carlia bicarinata,Squamates,squamatetree
Carlia bomberai,Squamates,squamatetree
Carlia caesius,Squamates,squamatetree
Carlia decora,Squamates,squamatetree
Carlia diguliensis,Squamates,squamatetree
Carlia dogare,Squamates,squamatetree
Carlia eothen,Squamates,squamatetree
Carlia fusca,Squamates,squamatetree
Carlia gracilis,Squamates,squamatetree
Carlia inconnexa,Squamates,squamatetree
Carlia jarnoldae,Squamates,squamatetree
Carlia johnstonei,Squamates,squamatetree
Carlia leucotaenia,Squamates,squamatetree
Carlia longipes,Squamates,squamatetree
Carlia luctuosa,Squamates,squamatetree
Carlia munda,Squamates,squamatetree
Carlia mysi,Squamates,squamatetree
Carlia nigrauris,Squamates,squamatetree
Carlia pectoralis,Squamates,squamatetree
Carlia peronii,Squamates,squamatetree
Carlia pulla,Squamates,squamatetree
Carlia quinquecarinata,Squamates,squamatetree
Carlia rhomboidalis,Squamates,squamatetree
Carlia rimula,Squamates,squamatetree
Carlia rostralis,Squamates,squamatetree
Carlia rubigo,Squamates,squamatetree
Carlia rubrigularis,Squamates,squamatetree
Carlia rufilatus,Squamates,squamatetree
Carlia schmeltzii,Squamates,squamatetree
Carlia sexdentata,Squamates,squamatetree
Carlia spinauris,Squamates,squamatetree
Carlia storri,Squamates,squamatetree
Carlia sukur,Squamates,squamatetree
Carlia tetradactyla,Squamates,squamatetree
Carlia triacantha,Squamates,squamatetree
Carlia tutela,Squamates,squamatetree
Carlia vivax,Squamates,squamatetree
Carlia wundalthini,Squamates,squamatetree
Carphodactylus laevis,Squamates,squamatetree
Carphophis amoenus,Squamates,squamatetree
Carphophis vermis,Squamates,squamatetree
Casarea dussumieri,Squamates,squamatetree
Cathetorhinus melanocephalus,Squamates,squamatetree
Causus bilineatus,Squamates,squamatetree
Causus defilippii,Squamates,squamatetree
Causus lichtensteinii,Squamates,squamatetree
Causus maculatus,Squamates,squamatetree
Causus rasmusseni,Squamates,squamatetree
Causus resimus,Squamates,squamatetree
Causus rhombeatus,Squamates,squamatetree
Celatiscincus euryotis,Squamates,squamatetree
Celatiscincus similis,Squamates,squamatetree
Celestus adercus,Squamates,squamatetree
Celestus agasepsoides,Squamates,squamatetree
Celestus anelpistus,Squamates,squamatetree
Celestus badius,Squamates,squamatetree
Celestus barbouri,Squamates,squamatetree
Celestus bivittatus,Squamates,squamatetree
Celestus carraui,Squamates,squamatetree
Celestus costatus,Squamates,squamatetree
Celestus crusculus,Squamates,squamatetree
Celestus curtissi,Squamates,squamatetree
Celestus cyanochloris,Squamates,squamatetree
Celestus darlingtoni,Squamates,squamatetree
Celestus duquesneyi,Squamates,squamatetree
Celestus enneagrammus,Squamates,squamatetree
Celestus fowleri,Squamates,squamatetree
Celestus haetianus,Squamates,squamatetree
Celestus hewardi,Squamates,squamatetree
Celestus hylaius,Squamates,squamatetree
Celestus macrotus,Squamates,squamatetree
Celestus marcanoi,Squamates,squamatetree
Celestus microblepharis,Squamates,squamatetree
Celestus montanus,Squamates,squamatetree
Celestus occiduus,Squamates,squamatetree
Celestus orobius,Squamates,squamatetree
Celestus rozellae,Squamates,squamatetree
Celestus scansorius,Squamates,squamatetree
Celestus sepsoides,Squamates,squamatetree
Celestus stenurus,Squamates,squamatetree
Celestus warreni,Squamates,squamatetree
Cemophora coccinea,Squamates,squamatetree
Cerastes boehmei,Squamates,squamatetree
Cerastes cerastes,Squamates,squamatetree
Cerastes gasperettii,Squamates,squamatetree
Cerastes vipera,Squamates,squamatetree
Ceratophora aspera,Squamates,squamatetree
Ceratophora erdeleni,Squamates,squamatetree
Ceratophora karu,Squamates,squamatetree
Ceratophora stoddartii,Squamates,squamatetree
Ceratophora tennentii,Squamates,squamatetree
Cerberus australis,Squamates,squamatetree
Cerberus dunsoni,Squamates,squamatetree
Cerberus microlepis,Squamates,squamatetree
Cerberus rynchops,Squamates,squamatetree
Cerberus schneiderii,Squamates,squamatetree
Cercophis auratus,Squamates,squamatetree
Cercosaura argulus,Squamates,squamatetree
Cercosaura dicra,Squamates,squamatetree
Cercosaura eigenmanni,Squamates,squamatetree
Cercosaura hypnoides,Squamates,squamatetree
Cercosaura manicata,Squamates,squamatetree
Cercosaura nigroventris,Squamates,squamatetree
Cercosaura ocellata,Squamates,squamatetree
Cercosaura parkeri,Squamates,squamatetree
Cercosaura phelpsorum,Squamates,squamatetree
Cercosaura quadrilineata,Squamates,squamatetree
Cercosaura schreibersii,Squamates,squamatetree
Cercosaura steyeri,Squamates,squamatetree
Cercosaura vertebralis,Squamates,squamatetree
Cerrophidion godmani,Squamates,squamatetree
Cerrophidion petlalcalensis,Squamates,squamatetree
Cerrophidion sasai,Squamates,squamatetree
Cerrophidion tzotzilorum,Squamates,squamatetree
Cerrophidion wilsoni,Squamates,squamatetree
Chabanaudia boulengeri,Squamates,squamatetree
Chalarodon madagascariensis,Squamates,squamatetree
Chalcides armitagei,Squamates,squamatetree
Chalcides bedriagai,Squamates,squamatetree
Chalcides bottegi,Squamates,squamatetree
Chalcides boulengeri,Squamates,squamatetree
Chalcides chalcides,Squamates,squamatetree
Chalcides coeruleopunctatus,Squamates,squamatetree
Chalcides colosii,Squamates,squamatetree
Chalcides delislei,Squamates,squamatetree
Chalcides ebneri,Squamates,squamatetree
Chalcides guentheri,Squamates,squamatetree
Chalcides lanzai,Squamates,squamatetree
Chalcides levitoni,Squamates,squamatetree
Chalcides manueli,Squamates,squamatetree
Chalcides mauritanicus,Squamates,squamatetree
Chalcides mertensi,Squamates,squamatetree
Chalcides minutus,Squamates,squamatetree
Chalcides mionecton,Squamates,squamatetree
Chalcides montanus,Squamates,squamatetree
Chalcides ocellatus,Squamates,squamatetree
Chalcides parallelus,Squamates,squamatetree
Chalcides pentadactylus,Squamates,squamatetree
Chalcides polylepis,Squamates,squamatetree
Chalcides pseudostriatus,Squamates,squamatetree
Chalcides pulchellus,Squamates,squamatetree
Chalcides ragazzii,Squamates,squamatetree
Chalcides sepsoides,Squamates,squamatetree
Chalcides sexlineatus,Squamates,squamatetree
Chalcides sphenopsiformis,Squamates,squamatetree
Chalcides striatus,Squamates,squamatetree
Chalcides thierryi,Squamates,squamatetree
Chalcides viridanus,Squamates,squamatetree
Chalcidoseps thwaitesi,Squamates,squamatetree
Chamaeleo africanus,Squamates,squamatetree
Chamaeleo anchietae,Squamates,squamatetree
Chamaeleo arabicus,Squamates,squamatetree
Chamaeleo calcaricarens,Squamates,squamatetree
Chamaeleo calyptratus,Squamates,squamatetree
Chamaeleo chamaeleon,Squamates,squamatetree
Chamaeleo dilepis,Squamates,squamatetree
Chamaeleo gracilis,Squamates,squamatetree
Chamaeleo laevigatus,Squamates,squamatetree
Chamaeleo monachus,Squamates,squamatetree
Chamaeleo namaquensis,Squamates,squamatetree
Chamaeleo necasi,Squamates,squamatetree
Chamaeleo senegalensis,Squamates,squamatetree
Chamaeleo zeylanicus,Squamates,squamatetree
Chamaelycus christyi,Squamates,squamatetree
Chamaelycus fasciatus,Squamates,squamatetree
Chamaelycus parkeri,Squamates,squamatetree
Chamaelycus werneri,Squamates,squamatetree
Chamaesaura aenea,Squamates,squamatetree
Chamaesaura anguina,Squamates,squamatetree
Chamaesaura macrolepis,Squamates,squamatetree
Chamaesaura miopropus,Squamates,squamatetree
Chamaesaura tenuior,Squamates,squamatetree
Chapinophis xanthocheilus,Squamates,squamatetree
Charina bottae,Squamates,squamatetree
Charina umbratica,Squamates,squamatetree
Chatogekko amazonicus,Squamates,squamatetree
Chelosania brunnea,Squamates,squamatetree
Chersodromus liebmanni,Squamates,squamatetree
Chersodromus rubriventris,Squamates,squamatetree
Chilabothrus angulifer,Squamates,squamatetree
Chilabothrus chrysogaster,Squamates,squamatetree
Chilabothrus exsul,Squamates,squamatetree
Chilabothrus fordii,Squamates,squamatetree
Chilabothrus gracilis,Squamates,squamatetree
Chilabothrus inornatus,Squamates,squamatetree
Chilabothrus monensis,Squamates,squamatetree
Chilabothrus striatus,Squamates,squamatetree
Chilabothrus strigilatus,Squamates,squamatetree
Chilabothrus subflavus,Squamates,squamatetree
Chilomeniscus savagei,Squamates,squamatetree
Chilomeniscus stramineus,Squamates,squamatetree
Chilorhinophis butleri,Squamates,squamatetree
Chilorhinophis gerardi,Squamates,squamatetree
Chionactis annulata,Squamates,squamatetree
Chionactis occipitalis,Squamates,squamatetree
Chionactis palarostris,Squamates,squamatetree
Chioninia coctei,Squamates,squamatetree
Chioninia delalandii,Squamates,squamatetree
Chioninia fogoensis,Squamates,squamatetree
Chioninia geisthardti,Squamates,squamatetree
Chioninia nicolauensis,Squamates,squamatetree
Chioninia spinalis,Squamates,squamatetree
Chioninia stangeri,Squamates,squamatetree
Chioninia vaillantii,Squamates,squamatetree
Chirindia ewerbecki,Squamates,squamatetree
Chirindia langi,Squamates,squamatetree
Chirindia mpwapwaensis,Squamates,squamatetree
Chirindia rondoensis,Squamates,squamatetree
Chirindia swynnertoni,Squamates,squamatetree
Chironius bicarinatus,Squamates,squamatetree
Chironius carinatus,Squamates,squamatetree
Chironius challenger,Squamates,squamatetree
Chironius diamantina,Squamates,squamatetree
Chironius exoletus,Squamates,squamatetree
Chironius flavolineatus,Squamates,squamatetree
Chironius flavopictus,Squamates,squamatetree
Chironius foveatus,Squamates,squamatetree
Chironius fuscus,Squamates,squamatetree
Chironius grandisquamis,Squamates,squamatetree
Chironius laevicollis,Squamates,squamatetree
Chironius laurenti,Squamates,squamatetree
Chironius leucometapus,Squamates,squamatetree
Chironius maculoventris,Squamates,squamatetree
Chironius monticola,Squamates,squamatetree
Chironius multiventris,Squamates,squamatetree
Chironius quadricarinatus,Squamates,squamatetree
Chironius scurrulus,Squamates,squamatetree
Chironius septentrionalis,Squamates,squamatetree
Chironius spixii,Squamates,squamatetree
Chironius vincenti,Squamates,squamatetree
Chlamydosaurus kingii,Squamates,squamatetree
Chondrodactylus angulifer,Squamates,squamatetree
Chondrodactylus bibronii,Squamates,squamatetree
Chondrodactylus fitzsimonsi,Squamates,squamatetree
Chondrodactylus turneri,Squamates,squamatetree
Christinus alexanderi,Squamates,squamatetree
Christinus guentheri,Squamates,squamatetree
Christinus marmoratus,Squamates,squamatetree
Chrysopelea ornata,Squamates,squamatetree
Chrysopelea paradisi,Squamates,squamatetree
Chrysopelea pelias,Squamates,squamatetree
Chrysopelea rhodopleuron,Squamates,squamatetree
Chrysopelea taprobanica,Squamates,squamatetree
Clelia clelia,Squamates,squamatetree
Clelia equatoriana,Squamates,squamatetree
Clelia errabunda,Squamates,squamatetree
Clelia hussami,Squamates,squamatetree
Clelia langeri,Squamates,squamatetree
Clelia plumbea,Squamates,squamatetree
Clelia scytalina,Squamates,squamatetree
Clonophis kirtlandii,Squamates,squamatetree
Cnemaspis affinis,Squamates,squamatetree
Cnemaspis africana,Squamates,squamatetree
Cnemaspis alantika,Squamates,squamatetree
Cnemaspis alwisi,Squamates,squamatetree
Cnemaspis amith,Squamates,squamatetree
Cnemaspis anaikattiensis,Squamates,squamatetree
Cnemaspis andersonii,Squamates,squamatetree
Cnemaspis argus,Squamates,squamatetree
Cnemaspis assamensis,Squamates,squamatetree
Cnemaspis aurantiacopes,Squamates,squamatetree
Cnemaspis australis,Squamates,squamatetree
Cnemaspis barbouri,Squamates,squamatetree
Cnemaspis baueri,Squamates,squamatetree
Cnemaspis bayuensis,Squamates,squamatetree
Cnemaspis beddomei,Squamates,squamatetree
Cnemaspis bidongensis,Squamates,squamatetree
Cnemaspis biocellata,Squamates,squamatetree
Cnemaspis boiei,Squamates,squamatetree
Cnemaspis boulengerii,Squamates,squamatetree
Cnemaspis caudanivea,Squamates,squamatetree
Cnemaspis chanardi,Squamates,squamatetree
Cnemaspis chanthaburiensis,Squamates,squamatetree
Cnemaspis clivicola,Squamates,squamatetree
Cnemaspis dezwaani,Squamates,squamatetree
Cnemaspis dickersonae,Squamates,squamatetree
Cnemaspis dilepis,Squamates,squamatetree
Cnemaspis dringi,Squamates,squamatetree
Cnemaspis elgonensis,Squamates,squamatetree
Cnemaspis flavigaster,Squamates,squamatetree
Cnemaspis flavolineata,Squamates,squamatetree
Cnemaspis gemunu,Squamates,squamatetree
Cnemaspis gigas,Squamates,squamatetree
Cnemaspis girii,Squamates,squamatetree
Cnemaspis goaensis,Squamates,squamatetree
Cnemaspis gracilis,Squamates,squamatetree
Cnemaspis grismeri,Squamates,squamatetree
Cnemaspis hangus,Squamates,squamatetree
Cnemaspis harimau,Squamates,squamatetree
Cnemaspis heteropholis,Squamates,squamatetree
Cnemaspis huaseesom,Squamates,squamatetree
Cnemaspis indica,Squamates,squamatetree
Cnemaspis indraneildasii,Squamates,squamatetree
Cnemaspis jacobsoni,Squamates,squamatetree
Cnemaspis jerdonii,Squamates,squamatetree
Cnemaspis kallima,Squamates,squamatetree
Cnemaspis kamolnorranathi,Squamates,squamatetree
Cnemaspis kandiana,Squamates,squamatetree
Cnemaspis karsticola,Squamates,squamatetree
Cnemaspis kendallii,Squamates,squamatetree
Cnemaspis koehleri,Squamates,squamatetree
Cnemaspis kolhapurensis,Squamates,squamatetree
Cnemaspis kottiyoorensis,Squamates,squamatetree
Cnemaspis kumarasinghei,Squamates,squamatetree
Cnemaspis kumpoli,Squamates,squamatetree
Cnemaspis laoensis,Squamates,squamatetree
Cnemaspis latha,Squamates,squamatetree
Cnemaspis limi,Squamates,squamatetree
Cnemaspis littoralis,Squamates,squamatetree
Cnemaspis mcguirei,Squamates,squamatetree
Cnemaspis menikay,Squamates,squamatetree
Cnemaspis modiglianii,Squamates,squamatetree
Cnemaspis molligodai,Squamates,squamatetree
Cnemaspis monachorum,Squamates,squamatetree
Cnemaspis monticola,Squamates,squamatetree
Cnemaspis mumpuniae,Squamates,squamatetree
Cnemaspis mysoriensis,Squamates,squamatetree
Cnemaspis nairi,Squamates,squamatetree
Cnemaspis narathiwatensis,Squamates,squamatetree
Cnemaspis neangthyi,Squamates,squamatetree
Cnemaspis nigridia,Squamates,squamatetree
Cnemaspis nilagirica,Squamates,squamatetree
Cnemaspis niyomwanae,Squamates,squamatetree
Cnemaspis nuicamensis,Squamates,squamatetree
Cnemaspis occidentalis,Squamates,squamatetree
Cnemaspis omari,Squamates,squamatetree
Cnemaspis ornata,Squamates,squamatetree
Cnemaspis otai,Squamates,squamatetree
Cnemaspis paripari,Squamates,squamatetree
Cnemaspis pava,Squamates,squamatetree
Cnemaspis pemanggilensis,Squamates,squamatetree
Cnemaspis peninsularis,Squamates,squamatetree
Cnemaspis perhentianensis,Squamates,squamatetree
Cnemaspis petrodroma,Squamates,squamatetree
Cnemaspis phillipsi,Squamates,squamatetree
Cnemaspis phuketensis,Squamates,squamatetree
Cnemaspis podihuna,Squamates,squamatetree
Cnemaspis pseudomcguirei,Squamates,squamatetree
Cnemaspis psychedelica,Squamates,squamatetree
Cnemaspis pulchra,Squamates,squamatetree
Cnemaspis punctata,Squamates,squamatetree
Cnemaspis punctatonuchalis,Squamates,squamatetree
Cnemaspis quattuorseriata,Squamates,squamatetree
Cnemaspis rammalensis,Squamates,squamatetree
Cnemaspis retigalensis,Squamates,squamatetree
Cnemaspis roticanai,Squamates,squamatetree
Cnemaspis samanalensis,Squamates,squamatetree
Cnemaspis scalpensis,Squamates,squamatetree
Cnemaspis selamatkanmerapoh,Squamates,squamatetree
Cnemaspis shahruli,Squamates,squamatetree
Cnemaspis siamensis,Squamates,squamatetree
Cnemaspis silvula,Squamates,squamatetree
Cnemaspis sisparensis,Squamates,squamatetree
Cnemaspis spinicollis,Squamates,squamatetree
Cnemaspis stongensis,Squamates,squamatetree
Cnemaspis sundagekko,Squamates,squamatetree
Cnemaspis sundainsula,Squamates,squamatetree
Cnemaspis temiah,Squamates,squamatetree
Cnemaspis timoriensis,Squamates,squamatetree
Cnemaspis tropidogaster,Squamates,squamatetree
Cnemaspis tucdupensis,Squamates,squamatetree
Cnemaspis upendrai,Squamates,squamatetree
Cnemaspis uzungwae,Squamates,squamatetree
Cnemaspis vandeventeri,Squamates,squamatetree
Cnemaspis whittenorum,Squamates,squamatetree
Cnemaspis wicksi,Squamates,squamatetree
Cnemaspis wynadensis,Squamates,squamatetree
Cnemaspis yercaudensis,Squamates,squamatetree
Cnemidophorus arenivagus,Squamates,squamatetree
Cnemidophorus arubensis,Squamates,squamatetree
Cnemidophorus cryptus,Squamates,squamatetree
Cnemidophorus duellmani,Squamates,squamatetree
Cnemidophorus flavissimus,Squamates,squamatetree
Cnemidophorus gramivagus,Squamates,squamatetree
Cnemidophorus lemniscatus,Squamates,squamatetree
Cnemidophorus leucopsammus,Squamates,squamatetree
Cnemidophorus martyris,Squamates,squamatetree
Cnemidophorus murinus,Squamates,squamatetree
Cnemidophorus nigricolor,Squamates,squamatetree
Cnemidophorus pseudolemniscatus,Squamates,squamatetree
Cnemidophorus rostralis,Squamates,squamatetree
Cnemidophorus ruatanus,Squamates,squamatetree
Cnemidophorus ruthveni,Squamates,squamatetree
Cnemidophorus senectus,Squamates,squamatetree
Cnemidophorus vanzoi,Squamates,squamatetree
Coelognathus enganensis,Squamates,squamatetree
Coelognathus erythrurus,Squamates,squamatetree
Coelognathus flavolineatus,Squamates,squamatetree
Coelognathus helena,Squamates,squamatetree
Coelognathus philippinus,Squamates,squamatetree
Coelognathus radiatus,Squamates,squamatetree
Coelognathus subradiatus,Squamates,squamatetree
Coeranoscincus frontalis,Squamates,squamatetree
Coeranoscincus reticulatus,Squamates,squamatetree
Coggeria naufragus,Squamates,squamatetree
Coleodactylus brachystoma,Squamates,squamatetree
Coleodactylus elizae,Squamates,squamatetree
Coleodactylus meridionalis,Squamates,squamatetree
Coleodactylus natalensis,Squamates,squamatetree
Coleodactylus septentrionalis,Squamates,squamatetree
Coleonyx brevis,Squamates,squamatetree
Coleonyx elegans,Squamates,squamatetree
Coleonyx fasciatus,Squamates,squamatetree
Coleonyx gypsicolus,Squamates,squamatetree
Coleonyx mitratus,Squamates,squamatetree
Coleonyx reticulatus,Squamates,squamatetree
Coleonyx switaki,Squamates,squamatetree
Coleonyx variegatus,Squamates,squamatetree
Collorhabdium williamsoni,Squamates,squamatetree
Colobodactylus dalcyanus,Squamates,squamatetree
Colobodactylus taunayi,Squamates,squamatetree
Colobosaura modesta,Squamates,squamatetree
Colobosauroides carvalhoi,Squamates,squamatetree
Colobosauroides cearensis,Squamates,squamatetree
Coloptychon rhombifer,Squamates,squamatetree
Colopus kochii,Squamates,squamatetree
Colopus wahlbergii,Squamates,squamatetree
Coluber anthonyi,Squamates,squamatetree
Coluber aurigulus,Squamates,squamatetree
Coluber barbouri,Squamates,squamatetree
Coluber bholanathi,Squamates,squamatetree
Coluber bilineatus,Squamates,squamatetree
Coluber constrictor,Squamates,squamatetree
Coluber flagellum,Squamates,squamatetree
Coluber fuliginosus,Squamates,squamatetree
Coluber lateralis,Squamates,squamatetree
Coluber mentovarius,Squamates,squamatetree
Coluber schotti,Squamates,squamatetree
Coluber slevini,Squamates,squamatetree
Coluber taeniatus,Squamates,squamatetree
Coluber zebrinus,Squamates,squamatetree
Colubroelaps nguyenvansangi,Squamates,squamatetree
Complicitus nigrigularis,Squamates,squamatetree
Compsophis albiventris,Squamates,squamatetree
Compsophis boulengeri,Squamates,squamatetree
Compsophis fatsibe,Squamates,squamatetree
Compsophis infralineatus,Squamates,squamatetree
Compsophis laphystius,Squamates,squamatetree
Compsophis vinckei,Squamates,squamatetree
Compsophis zeny,Squamates,squamatetree
