"","species_name","order","family","genus","species","max_longevity_d","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","maturity_d","female_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","generation_length_d","dispersal_km","hibernation_torpor","fossoriality","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","habitat_breadth_n","maximum.longevity..yrs.","specimen.origin","sample.size","data.quality"
"130","Caracal_caracal","Carnivora","Felidae","Caracal","caracal",7409.5,14000,57.519,827.14,437.27,456,456.25,73.959,3,1.1,364.75,165,122,2239.823,23.687,0,1,0,100,0,3,2,0,0,1,0,5,20.3,"captivity","medium","acceptable"
"133","Castor_canadensis","Rodentia","Castoridae","Castor","canadensis",8541,19928.335,45.23,777.37,663.02,648.209,782.815,114.439,3.58,1,364.75,430,56.43,2657.6,5.496,0,1,0,0,100,1,2,1,0,1,0,2,23.4,"captivity","small","acceptable"
"137","Cebuella_pygmaea","Primates","Callitrichidae","Cebuella","pygmaea",6789,116.83,4.581,153.3,708.5,684,840.41,133.72,1.98,1.56,176.629,16,91,2380.264,0.325,0,2,20,20,60,2,3,0,0,1,0,1,18.6,"captivity","large","high"
"141","Tarsius_bancanus","Primates","Tarsiidae","Cephalopachus","bancanus",5949.5,118.445,3.348,145,658.68,920,919.8,178,1,1.49,254.97,25.01,78.55,2190,2.285,0,2,100,0,0,3,2,0,0,1,0,1,16.3,"captivity","small","acceptable"
"150","Ceratotherium_simum","Perissodactyla","Rhinocerotidae","Ceratotherium","simum",18250,2230000,643,3393.405,2741.23,2026.125,2463.75,515,1,0.42,987.449,51166.67,365,6865.346,73.599,0,1,0,0,100,1,2,0,0,1,0,3,45,"captivity","large","high"
"156","Cercopithecus_cephus","Primates","Cercopithecidae","Cercopithecus","cephus",13140,3399.94,66.75,520,1521.9,1521.9,1825,172,1,0.4,820.438,339,363.965,4418.325,2.078,0,2,20,10,70,2,3,0,0,1,0,1,36,"captivity","small","acceptable"
"162","Cercopithecus_neglectus","Primates","Cercopithecidae","Cercopithecus","neglectus",11242,5701,67.542,510,2076.39,1611,1704.55,176.004,1,1,474.175,260,395.334,4232.248,2.761,0,2,20,10,70,2,3,0,0,1,0,2,30.8,"captivity","medium","acceptable"
"167","Cerdocyon_thous","Carnivora","Canidae","Cerdocyon","thous",4635.5,5741.66,40,674.03,279.15,276.055,335.24,56.307,4,1.9,242.999,140,90,1530.168,2.772,0,1,50,50,0,2,1,0,0,1,0,6,12.7,"captivity","small","acceptable"
"176","Cheirogaleus_medius","Primates","Cheirogaleidae","Cheirogaleus","medius",8471.042,294.19,3.295,234.75,413.84,415.156,472.67,63.766,2.195,1,364.75,17.185,61.218,2584.908,0.541,1,2,20,0,80,2,1,0,0,1,0,1,29,"captivity","medium","acceptable"
"183","Choloepus_didactylus","Pilosa","Megalonychidae","Choloepus","didactylus",13432,6250,28.2,774.48,1262.74,1270.87,1537.055,274.315,1,1,705.222,356,114.045,4669.367,2.904,0,2,0,0,100,1,1,0,0,1,0,1,36.8,"captivity","medium","acceptable"
"184","Choloepus_hoffmanni","Pilosa","Megalonychidae","Choloepus","hoffmanni",13505,4250,23.436,700,1473.2,823.616,1777.47,344.885,1,0.745,455.813,393.625,21.001,5095.598,2.349,0,2,0,0,100,1,1,0,0,1,0,1,41,"captivity","medium","acceptable"
"186","Civettictis_civetta","Carnivora","Viverridae","Civettictis","civetta",10220,13666.67,38.953,840.07,286.24,365,395.41,68.4,2.31,2.2,216.422,380.5,120,3244.541,4.466,0,1,10,50,40,2,1,0,0,1,0,4,28,"captivity","small","acceptable"
"187","Coendou_prehensilis","Rodentia","Erethizontidae","Coendou","prehensilis",9709,3900,17.332,533.8,631.2,578.284,833.07,203,1,1.11,393.64,408,95,3031.972,2.241,0,2,0,0,100,1,1,0,0,1,0,1,26.6,"captivity","medium","acceptable"
"189","Colobus_guereza","Primates","Cercopithecidae","Colobus","guereza",12775,9058.41,76.619,627.34,1929.19,1635.92,1916.25,180,1,0.775,441.902,493.445,376.798,4509.575,3.562,0,2,0,0,100,2,3,0,0,1,0,2,35,"captivity","large","high"
"196","Connochaetes_taurinus","Cetartiodactyla","Bovidae","Connochaetes","taurinus",9015.5,180500,400.4,2207.495,841.82,515.947,730,253,1,1,364.75,18084.68,256.32,2942.265,18.466,0,1,0,0,100,1,2,0,0,1,0,2,24.3,"captivity","large","high"
"205","Crocidura_russula","Eulipotyphla","Soricidae","Crocidura","russula",1460,10.6,0.19,82.145,66.88,75,95.2,29,4.04,3.5,28.231,0.88,23.82,448.652,0.7,1,1,50,50,0,3,1,0,0,1,0,2,4,"captivity","tiny","acceptable"
"207","Crocuta_crocuta","Carnivora","Hyaenidae","Crocuta","crocuta",15001.5,63000,152.7,1379.055,789.54,1049.694,900.705,110,2,1,444.715,1390,321.709,5054.411,49.498,0,1,0,100,0,3,2,0,0,1,0,2,41.1,"captivity","medium","acceptable"
"208","Crossarchus_obscurus","Carnivora","Herpestidae","Crossarchus","obscurus",4854.5,790,10.132,394.49,278.42,274,342.42,68.481,4,2.5,121.577,9.78,23,1384.607,0.931,0,1,60,20,20,2,2,0,0,1,0,2,13.3,"captivity","small","acceptable"
"209","Cryptomys_hottentotus","Rodentia","Bathyergidae","Cryptomys","hottentotus",4015,78.425,1.17,215,472.6,450,555.595,82.196,2.86,1.5,131.91,8.63,45.654,1606.96,0.261,0,1,0,0,100,1,2,0,0,1,0,3,11,"captivity","small","questionable"
"213","Cuniculus_paca","Rodentia","Cuniculidae","Cuniculus","paca",6132,9000,29.87,721.03,335.48,335.48,451.6,116,1.01,1.5,190.869,680,78,2097.463,3.549,0,1,0,0,100,1,1,0,0,1,0,1,16.3,"captivity","small","acceptable"
"215","Cuon_alpinus","Carnivora","Canidae","Cuon","alpinus",5876.5,15750,98.037,1058.87,374.18,365,435.43,61.5,4.3,1.05,364.75,275,57.33,2041.809,25.095,0,1,0,100,0,3,2,0,0,1,0,3,16.1,"captivity","medium","acceptable"
"217","Cynomys_ludovicianus","Rodentia","Sciuridae","Cynomys","ludovicianus",6570,1125,5.864,330,696.9,798.641,728.63,35.415,4.43,1,820.688,15.75,47.22,1567.768,1.131,1,1,0,0,100,1,3,0,0,1,0,3,15,"captivity","large","acceptable"
"221","Dama_dama","Cetartiodactyla","Cervidae","Dama","dama",9125,63612.305,195.657,1750,543.28,515.14,1095,233,1.07,1,364.75,4511.17,182.92,3286.095,10.405,0,1,0,0,100,1,2,0,0,1,0,3,27,"captivity","large","acceptable"
"230","Dasyprocta_punctata","Rodentia","Dasyproctidae","Dasyprocta","punctata",5037,2229.56,18.34,620,487,487,596.825,109.825,1.64,1.87,126.913,227,140,1683.361,1.648,0,1,10,0,90,1,2,0,0,1,0,3,13.8,"captivity","medium","acceptable"
"234","Dasyuroides_byrnei","Dasyuromorphia","Dasyuridae","Dasyuroides","byrnei",2920,105,1.554,170.245,299.95,273.96,332.695,32.745,6,2,170.633,0.024,110,1049.081,2.154,1,1,30,70,0,3,1,0,0,1,0,2,8,"captivity","small","acceptable"
"235","Dasyurus_geoffroii","Dasyuromorphia","Dasyuridae","Dasyurus","geoffroii",2278.208,1300,5.17,499.45,417.36,365.28,434.19,16.83,5.735,1,364.75,0.01,156.06,910.796,7.392,0,1,60,40,0,3,1,0,0,1,0,2,6.2,"captivity","small","acceptable"
"238","Dasyurus_viverrinus","Dasyuromorphia","Dasyuridae","Dasyurus","viverrinus",2488.083,982,5.33,391.69,372.1,365.28,392.35,20.5,6,1,364.75,0.015,153.3,1010.093,1.049,0,1,70,30,0,2,2,0,0,1,0,4,6.8,"captivity","small","acceptable"
"239","Daubentonia_madagascariensis","Primates","Daubentoniidae","Daubentonia","madagascariensis",8869.5,2610.33,45.15,420,834.72,882,1277.5,167,1,1,835.633,121.79,197.7,2920,1.797,0,2,40,0,60,2,1,0,0,1,0,2,32.3,"captivity","small","acceptable"
"253","Diceros_bicornis","Perissodactyla","Rhinocerotidae","Diceros","bicornis",17973.208,995940.54,790.5,3299.995,2199.16,1826,2053.12,474,1,0.4,1053.463,34999.99,606.285,6205,47.243,0,1,0,0,100,1,2,0,0,1,0,3,57,"wild","medium","acceptable"
"256","Didelphis_marsupialis","Didelphimorphia","Didelphidae","Didelphis","marsupialis",2555,1149.875,6.335,396.35,200.88,178,182.5,14,6.2,2,154.894,0.18,100,494.757,1.145,0,2,20,60,20,2,1,0,0,1,0,2,4.2,"captivity","small","acceptable"
"257","Didelphis_virginiana","Didelphimorphia","Didelphidae","Didelphis","virginiana",2555,1414.5,7.324,402.7,225.55,184,186,12.345,6.645,2,129.346,0.15,100,745.99,1.283,0,2,20,60,20,2,1,0,0,1,0,3,6.6,"captivity","medium","acceptable"
"264","Dipodomys_spectabilis","Rodentia","Heteromyidae","Dipodomys","spectabilis",4635.5,124.61,2.109,170.57,310.33,310.33,333.58,23.5,2.65,2,41.971,7.75,24,1081.249,0.337,0,1,20,0,80,2,1,0,0,1,0,1,12.7,"captivity","tiny","acceptable"
"266","Dolichotis_patagonum","Rodentia","Caviidae","Dolichotis","patagonum",5256,12500,30.5,706.92,216.03,158,243.33,91,1.875,3.5,99.737,561.94,70,1675.834,4.252,0,1,0,0,100,1,3,0,0,1,0,3,14.4,"captivity","large","high"
"278","Elephantulus_intufi","Macroscelidea","Macroscelididae","Elephantulus","intufi",3394.5,48.9,1.14,148.805,251.19,334.796,302.69,51.741,1.6,2.59,66.954,10,38,1202.722,0.202,0,1,100,0,0,2,3,0,0,1,0,3,9.3,"captivity","small","acceptable"
