"","species_name","order","family","genus","species","max_longevity_d","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","maturity_d","female_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","generation_length_d","dispersal_km","hibernation_torpor","fossoriality","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","habitat_breadth_n","maximum.longevity..yrs.","specimen.origin","sample.size","data.quality"
"611","Nasua_nasua","Carnivora","Procyonidae","Nasua","nasua",8650.5,4000,32.542,598.815,841.82,785.91,915.85,74.03,3.81,1.1,364.75,142.455,86,2778.436,2.272,0,2,10,20,70,2,3,0,0,1,0,2,23.7,"captivity","large","high"
"613","Neomys_fodiens","Eulipotyphla","Soricidae","Neomys","fodiens",1131.5,15.13,0.31,88.97,320.22,159.789,340.91,21.38,5.51,1.8,64.956,0.78,35.34,576.889,0.834,0,1,40,60,0,3,2,1,0,1,0,3,3.1,"captivity","small","acceptable"
"616","Neotoma_albigula","Rodentia","Cricetidae","Neotoma","albigula",3467.5,190.5,2.618,195.735,94.14,94.14,127.14,36.219,2.14,2,48.966,11.35,33.5,1019.719,0.426,0,1,10,0,90,1,1,0,0,1,0,4,9.5,"captivity","small","acceptable"
"630","Nyctereutes_procyonoides","Carnivora","Canidae","Nyctereutes","procyonoides",6059,4232,29.526,563.69,326.63,326.63,730,61.84,6.3,1,364.75,87.42,48.345,2091.937,2.344,1,1,20,40,40,2,1,0,0,1,0,4,16.6,"captivity","medium","acceptable"
"631","Nycticebus_coucang","Primates","Lorisidae","Nycticebus","coucang",9672.5,953.3,11.004,340,660.82,619.41,932.57,189.545,1.035,1,428.207,49.94,177.069,2555,1.032,0,2,40,40,20,2,1,0,0,1,0,2,25.8,"captivity","medium","acceptable"
"638","Ochotona_princeps","Lagomorpha","Ochotonidae","Ochotona","princeps",2670.583,140.2,2.39,190,374.39,347.579,404.61,30.436,3,2.11,30.184,9,26.45,1045.751,0.36,0,1,0,0,100,1,2,0,0,1,0,1,7,"captivity","small","acceptable"
"641","Odocoileus_hemionus","Cetartiodactyla","Cervidae","Odocoileus","hemionus",8030,57000,160.632,1808.25,527.12,478,547.5,207,1.615,1,364.75,2952.67,74.486,2717.425,9.796,0,1,0,0,100,1,2,0,0,1,0,9,22,"captivity","medium","acceptable"
"642","Odocoileus_virginianus","Cetartiodactyla","Cervidae","Odocoileus","virginianus",8395,65320,153.418,1806.845,365,309,463,201.39,1.71,1,303.872,3000,129,2713.883,10.558,0,1,0,0,100,1,2,0,0,1,0,9,23,"captivity","large","high"
"646","Onychomys_leucogaster","Rodentia","Cricetidae","Onychomys","leucogaster",2044,32.5,0.802,127,107.71,107.71,156.33,31.63,3.84,2.5,31.728,2.6,23,671.999,0.161,0,1,90,0,10,2,1,0,0,1,0,4,5.6,"captivity","tiny","acceptable"
"647","Onychomys_torridus","Rodentia","Cricetidae","Onychomys","torridus",2044,22,0.596,103.46,56.02,81.958,121.66,30.5,3.665,2.55,30.729,2.465,21.91,573.289,1.002,0,1,90,0,10,3,1,0,0,1,0,2,4.6,"captivity","small","acceptable"
"651","Oreotragus_oreotragus","Cetartiodactyla","Bovidae","Oreotragus","oreotragus",9453.5,13000,58.5,987.495,371.23,365.232,576.23,206.66,1,1.05,364.75,1130,136.962,2700.065,4.345,0,1,0,0,100,1,2,0,0,1,0,3,25.9,"captivity","medium","acceptable"
"653","Orycteropus_afer","Tubulidentata","Orycteropodidae","Orycteropus","afer",10877,56175.2,104.6,1417.215,755.15,755.15,1095,222.05,1.03,1,364.75,1800,102.569,3624.815,46.794,0,1,100,0,0,3,2,0,0,1,0,4,29.8,"captivity","medium","acceptable"
"655","Oryx_dammah","Cetartiodactyla","Bovidae","Oryx","dammah",10037.5,177500,241,1615,594.5,639,1001.31,247,1,1.89,221.628,10316.835,60,3247.096,18.296,0,1,0,0,100,1,2,0,0,1,0,3,27.5,"captivity","large","high"
"656","Oryx_gazella","Cetartiodactyla","Bovidae","Oryx","gazella",8723.5,37500,295,1432.5,841.82,612.677,866.87,168,1,1.89,221.628,3850,60,2866.554,7.781,0,1,0,0,100,1,2,0,0,1,0,4,23.8,"captivity","large","high"
"658","Otocyon_megalotis","Carnivora","Canidae","Otocyon","megalotis",6527.417,4150,27.975,598.815,420.91,365.232,488.68,68,4,2,182.125,120.88,62.698,1959.906,2.319,0,1,50,30,20,2,2,0,0,1,0,3,17,"captivity","medium","acceptable"
"662","Ourebia_ourebi","Cetartiodactyla","Bovidae","Ourebia","ourebi",5803.5,17186.09,58.333,1280,372.09,372.09,674.33,210.5,1,1.53,183.624,2235,136.962,2156.85,5.066,0,1,0,0,100,1,2,0,0,1,0,2,15.9,"captivity","tiny","acceptable"
"664","Ovis_ammon","Cetartiodactyla","Bovidae","Ovis","ammon",6132,160000,110.367,1692.5,555.47,403,823,170,1.2,1,364.75,3232.64,135,2920,17.281,0,1,0,0,100,1,2,0,0,1,0,4,16.8,"captivity","small","acceptable"
"667","Ozotoceros_bezoarticus","Cetartiodactyla","Cervidae","Ozotoceros","bezoarticus",7993.5,34620.4,93.033,1312.37,350.76,365,567.45,220.38,1,1,323.319,2100,167.398,2846.685,7.446,0,1,0,0,100,1,2,0,0,1,0,2,21.9,"captivity","tiny","acceptable"
"670","Pan_paniscus","Primates","Hominidae","Pan","paniscus",20075,35119.95,325.323,788.715,5465.72,3287.088,3522.408,235.32,1,0.22,1769.038,1399.765,854.745,9125,7.505,0,2,10,0,90,1,3,0,0,1,0,1,55,"captivity","tiny","acceptable"
"671","Pan_troglodytes","Primates","Hominidae","Pan","troglodytes",27010,44983.5,363.511,868.045,3897.96,3636.98,5073.5,229,1.075,0.2,1331.588,1745.02,1112.131,7300,8.6,0,2,10,0,90,1,3,0,0,1,0,2,68,"captivity","large","acceptable"
"672","Panthera_leo","Carnivora","Felidae","Panthera","leo",10950,149061.965,236.878,2167.58,987.77,1095,1047.55,109,2.825,1,689.028,1300,216,2190,75.485,0,1,0,100,0,3,2,0,0,1,0,4,28,"captivity","large","acceptable"
"673","Panthera_onca","Carnivora","Felidae","Panthera","onca",10353.833,81150,156.391,1590.81,1184.16,906.152,1284.905,100.745,2,0.5,364.75,820,126,3581.681,56.036,0,1,0,100,0,3,2,0,0,1,0,6,28,"captivity","large","high"
"674","Panthera_pardus","Carnivora","Felidae","Panthera","pardus",9964.5,53074.995,134.015,1643.855,810.68,937,1147.01,97,2.14,1,459.87,550,110,3400.645,45.51,0,1,0,100,0,3,1,0,0,1,0,6,27.3,"captivity","large","high"
"675","Panthera_tigris","Carnivora","Felidae","Panthera","tigris",9599.5,128800,286.731,2312.395,1522.5,1268,1216.66,105.19,2.57,0.4,785.087,1248.59,121,2920,70.27,0,1,0,100,0,3,2,0,0,1,0,2,26.3,"captivity","large","high"
"681","Pecari_tajacu","Cetartiodactyla","Tayassuidae","Pecari","tajacu",11497.5,20500,99.5,910,315.68,323.839,473.5,143.359,1.82,2,154.894,657.18,50.371,2689.583,5.582,0,1,1,0,99,2,2,0,0,1,0,5,31.5,"captivity","large","high"
"682","Pedetes_capensis","Rodentia","Pedetidae","Pedetes","capensis",7315.208,2774.625,11.09,415,338.33,1034,417.34,78.02,1,3.6,100.931,269.75,46,2168.05,1.858,0,1,0,0,100,1,1,0,0,1,0,4,20,"captivity","small","acceptable"
"684","Perameles_bougainville","Peramelemorphia","Peramelidae","Perameles","bougainville",2117,226,3.326,300,136.05,120,148.05,12,1.8,4,60.833,0.25,62,726.005,0.468,0,1,70,20,10,2,1,0,0,1,0,2,5.8,"captivity","small","acceptable"
"685","Perameles_gunnii","Peramelemorphia","Peramelidae","Perameles","gunnii",2226.5,801.5,4.662,323.35,107.64,99.32,119.89,12.25,2.155,3.8,64.956,0.235,59.995,706.157,0.939,0,1,70,20,10,2,1,0,0,1,0,2,6.1,"captivity","medium","acceptable"
"686","Perameles_nasuta","Peramelemorphia","Peramelidae","Perameles","nasuta",2044,720.26,5.139,425,139.04,137.02,121.66,12.12,2.565,2.92,52.964,0.238,66.495,679.139,0.885,0,1,70,20,10,2,1,0,0,1,0,4,5.6,"captivity","small","acceptable"
"688","Perodicticus_potto","Primates","Lorisidae","Perodicticus","potto",9782,1011,11.98,355,561.58,561.58,750.07,193,1.03,1,275.836,40.51,132.092,3326.99,1.066,0,2,10,0,90,2,1,0,0,1,0,1,32.4,"captivity","small","acceptable"
"691","Perognathus_parvus","Rodentia","Heteromyidae","Perognathus","parvus",2117,20.1,0.487,81.57,341.37,100,365.12,24,4.8,1.6,279.833,1.5,22.913,791.675,0.124,0,1,10,0,90,2,1,0,0,1,0,5,5.8,"captivity","small","acceptable"
"694","Peromyscus_eremicus","Rodentia","Cricetidae","Peromyscus","eremicus",2701,21.75,0.54,91.2,54.07,128.744,80.745,26,2.6,3.5,38.723,2.33,24.958,856.09,0.129,1,2,50,10,40,2,1,0,0,1,0,2,7.4,"captivity","medium","acceptable"
"696","Peromyscus_leucopus","Rodentia","Cricetidae","Peromyscus","leucopus",2920,22.3,0.6,100.705,45.15,70.916,106.45,25.262,4.345,3.9,26.282,1.89,22.33,661.283,0.131,1,2,50,10,40,2,1,0,0,1,0,4,7.9,"captivity","small","acceptable"
"697","Peromyscus_maniculatus","Rodentia","Cricetidae","Peromyscus","maniculatus",3041.667,20.5,0.57,98.875,48.05,59.958,86.72,26,4.615,3.55,26.782,1.83,22.575,940.126,0.125,1,2,50,10,40,1,1,0,0,1,0,7,8.3,"captivity","medium","acceptable"
"704","Petaurus_breviceps","Diprotodontia","Petauridae","Petaurus","breviceps",6497,127.55,2.09,170.755,320.03,278.015,403.02,16.34,2,1.3,310.787,0.187,120.325,1969.159,0.342,0,2,40,10,50,2,1,0,0,1,0,3,17.8,"captivity","large","high"
"709","Petrogale_xanthopus","Diprotodontia","Macropodidae","Petrogale","xanthopus",5256,7249.995,23,800,581.78,561.39,541.3,32.08,1.06,1.5,195.866,0.49,343.025,1781.543,3.151,0,1,0,0,100,1,1,0,0,1,0,1,14.4,"captivity","medium","acceptable"
"715","Phascolarctos_cinereus","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus",8066.5,5646.87,20.2,850,834.72,646,730,31,1.005,1,422.211,0.36,342,2746.443,2.747,0,2,0,0,100,1,1,0,0,1,0,2,22.1,"captivity","large","high"
"717","Philantomba_maxwellii","Cetartiodactyla","Bovidae","Philantomba","maxwellii",6679.5,6250,38,747.615,344.87,487,1095,193,1,1,264.819,827.49,60.872,2287.577,2.904,0,1,0,10,90,2,1,0,0,1,0,3,18.3,"captivity","small","acceptable"
"718","Philantomba_monticola","Cetartiodactyla","Bovidae","Philantomba","monticola",5803.5,4896.05,41.25,671.15,351.59,486.976,577.91,195.703,1,1.29,264.819,800,27.28,1818.121,2.539,0,1,0,10,90,2,1,0,0,1,0,1,15.9,"captivity","medium","acceptable"
"742","Callicebus_moloch","Primates","Pitheciidae","Plecturocebus","moloch",9563,850,19,484.325,1262.74,1095.696,1095,164,1.01,1,364.75,74.4,106.526,3503.088,0.969,0,2,20,0,80,2,3,0,0,1,0,1,26.2,"captivity","tiny","acceptable"
"743","Podomys_floridanus","Rodentia","Cricetidae","Podomys","floridanus",2707.083,31.025,0.94,115.09,40.36,40.36,63.36,23.218,2.6,3.71,32.977,2.4,25,838.087,0.157,0,1,30,0,70,2,1,0,0,1,0,4,7.4,"captivity","small","acceptable"
"746","Pongo_pygmaeus","Primates","Hominidae","Pongo","pygmaeus",21900,58941.645,364.214,1195,3318.62,2936.81,3591.6,259.42,1.14,0.22,1709.579,1671.93,1088.8,7300,9.978,0,2,10,10,80,2,3,0,0,1,0,1,59,"captivity","large","acceptable"
"747","Potamochoerus_porcus","Cetartiodactyla","Suidae","Potamochoerus","porcus",8227.708,71000,155.6,1434.65,1113.7,1096,1234.7,120,3,1.1,364.75,762,91.154,3134.384,11.053,0,1,0,20,80,2,1,0,0,1,0,1,22,"captivity","large","high"
"750","Potos_flavus","Carnivora","Procyonidae","Potos","flavus",14016,2420.905,27.232,634.77,858.41,830.778,974.31,115.9,1,1,364.75,173.42,114.065,4160.295,1.724,0,2,10,10,80,2,1,0,0,1,0,1,38.4,"captivity","medium","acceptable"
"751","Praomys_tullbergi","Rodentia","Muridae","Praomys","tullbergi",1898,36.97,0.86,120.79,57.07,81.873,114.83,24,3.5,4,23.984,2.7,24.958,631.949,0.173,0,1,20,0,80,2,1,0,0,1,0,1,5.2,"captivity","small","acceptable"
"754","Prionailurus_bengalensis","Carnivora","Felidae","Prionailurus","bengalensis",6314.5,4150,30.427,779.923,855.31,563.675,921.4,66.046,2.5,1.64,164.168,93.86,44.741,2350.843,13.054,0,1,0,100,0,3,2,0,0,1,0,3,17,"captivity","medium","acceptable"
"759","Procavia_capensis","Hyracoidea","Procaviidae","Procavia","capensis",5405.042,2750,19.725,508.685,487.07,500,2190,226.449,2.44,1,364.75,218.59,88.258,3079.14,1.849,0,2,0,0,100,1,2,0,0,1,0,4,14.8,"captivity","medium","acceptable"
"761","Procyon_lotor","Carnivora","Procyonidae","Procyon","lotor",7665,5075,41.653,600,561.28,365,625.28,63.914,3.39,1,364.75,80,91,2703.919,2.59,0,2,19,52,29,2,1,0,0,1,0,1,21,"captivity","large","acceptable"
"765","Propithecus_diadema","Primates","Indriidae","Propithecus","diadema",4036.292,6414.495,41.23,525.87,1683.65,1618.856,1553.07,166.283,1.01,0.62,744.69,134.995,266.619,3650,2.946,0,2,0,0,100,1,3,0,0,1,0,1,21,"wild","small","questionable"
"767","Propithecus_verreauxi","Primates","Indriidae","Propithecus","verreauxi",11132.5,3588.26,26.7,511.245,943.94,943.94,1668.05,148,1.02,1,450.691,77.64,177.83,3650,2.14,0,2,0,0,100,1,3,0,0,1,0,2,31,"wild","medium","acceptable"
"770","Pseudantechinus_macdonnellensis","Dasyuromorphia","Dasyuridae","Pseudantechinus","macdonnellensis",2883.5,39.99,0.508,105,355.43,350,399.29,44.36,5.94,1,364.75,0.011,106,838.185,1.342,0,1,100,0,0,3,1,0,0,1,0,2,7,"captivity","small","acceptable"
"779","Pteronura_brasiliensis","Carnivora","Mustelidae","Pteronura","brasiliensis",6314.5,24000,92.231,1268.995,730.232,730.232,550,68.785,1.94,1,364.75,204.25,120.48,2190,30.847,0,1,40,60,0,3,3,1,0,1,0,3,17.3,"captivity","small","acceptable"
"794","Puma_concolor","Carnivora","Felidae","Puma","concolor",8687,48000,132.843,1677.665,1034.61,912,623.54,92.3,2.76,0.47,681.488,400,90,2693.79,43.323,0,1,0,100,0,3,2,0,0,1,0,5,27,"captivity","large","acceptable"
"799","Raphicerus_campestris","Cetartiodactyla","Bovidae","Raphicerus","campestris",5110,11333.33,50.458,887.495,233.81,233.81,437.31,198.747,1,1.42,216.851,920,91,1744.588,4.029,0,1,0,0,100,1,2,0,0,1,0,3,9.3,"captivity","medium","acceptable"
"803","Rattus_rattus","Rodentia","Muridae","Rattus","rattus",1533,200,1.816,201.99,115.29,102.645,143.14,22.261,5.95,4.28,33.602,4.55,26.087,546.199,0.437,0,2,30,0,70,2,1,0,0,1,0,5,4.2,"captivity","large","acceptable"
"804","Ratufa_bicolor","Rodentia","Sciuridae","Ratufa","bicolor",7166.167,2000,11.01,388.235,1078.478,1078.478,1109.75,31.729,1.65,2,213.354,77,51.6,2327.158,1.552,0,2,10,10,80,1,3,0,0,1,0,1,19,"captivity","tiny","acceptable"
"807","Redunca_fulvorufula","Cetartiodactyla","Bovidae","Redunca","fulvorufula",5797.417,30000,120.5,1415,326.81,388,546.305,222.99,1,1.1,352.673,2719.09,82.12,1914.521,6.882,0,1,0,0,100,1,2,0,0,1,0,3,15,"captivity","small","acceptable"
"810","Rhinoceros_unicornis","Perissodactyla","Rhinocerotidae","Rhinoceros","unicornis",17885,1600000,786,3771.695,2069.22,2069.22,2618.87,479,1,0.3,879.123,58204.55,456,6851.989,61.316,0,1,0,0,100,1,2,1,0,1,0,2,43.5,"captivity","medium","acceptable"
"821","Rucervus_eldii","Cetartiodactyla","Cervidae","Rucervus","eldii",7482.5,95471.61,166.9,1675,531.64,531.64,958.12,240.19,1.01,1,377.092,4750,239.836,1825,13.009,0,1,0,0,100,1,2,1,0,1,0,6,20.5,"captivity","large","high"
"829","Saguinus_geoffroyi","Primates","Callitrichidae","Saguinus","geoffroyi",9563,453.77,15.442,274.995,549,548,690,172.118,1.945,1.175,240.735,41,53.849,2659.825,0.686,0,2,40,0,60,2,3,0,0,1,0,1,20.5,"captivity","medium","acceptable"
"833","Saguinus_midas","Primates","Callitrichidae","Saguinus","midas",7665,547.18,10.253,287.105,841.82,624.491,730,132.62,2,1.4,206.688,40,71,2444.77,0.761,0,2,40,0,60,2,3,0,0,1,0,2,21,"captivity","large","high"
"834","Saguinus_mystax","Primates","Callitrichidae","Saguinus","mystax",7300,543.5,10.962,310,556.85,521.425,703.49,148.28,1.93,1.62,168.135,46.9,171.025,2701.529,0.758,0,2,40,0,60,2,3,0,0,1,0,1,20,"captivity","small","acceptable"
"835","Saguinus_oedipus","Primates","Callitrichidae","Saguinus","oedipus",9563,445.5,9.639,274.995,680.38,614.19,942.91,177.873,1.9,1,238.367,39.79,52,2190,0.679,0,2,40,0,60,2,3,0,0,1,0,1,26.2,"captivity","large","high"
"837","Saimiri_sciureus","Primates","Cebidae","Saimiri","sciureus",11023,836.7,24.273,341,1399.88,1090.589,1073.25,164.09,1,1.07,373.869,107.5,177,3789.318,0.961,0,2,20,20,60,2,3,0,0,1,0,1,30.2,"captivity","large","high"
"838","Sapajus_apella","Primates","Cebidae","Sapajus","apella",16790,2642.5,69.307,493.845,1760.81,1727.448,2058.6,158,1.05,0.6,663.546,235.54,307,5475,1.809,0,2,26.5,16,57.5,2,3,0,0,1,0,2,46,"captivity","large","high"
"839","Sarcophilus_harrisii","Dasyuromorphia","Dasyuridae","Sarcophilus","harrisii",4766.292,6500,16.669,678.93,777.31,730.56,800.81,26,2.94,1,364.75,0.022,243.33,1704.215,16.265,0,1,0,100,0,3,1,0,0,1,0,2,13,"captivity","medium","acceptable"
"846","Sciurus_vulgaris","Rodentia","Sciuridae","Sciurus","vulgaris",5402,328.875,6.027,213.17,360.85,300.2,273.75,38,4.43,2,91.063,10,64.51,1612.753,0.575,0,2,0,0,100,1,3,0,0,1,0,2,14.8,"captivity","medium","acceptable"
"852","Setonix_brachyurus","Diprotodontia","Macropodidae","Setonix","brachyurus",5040.042,2821.15,17.5,600,442.19,347.095,410.62,26.945,1,1.4,354.757,0.382,249.12,1460,1.875,0,1,0,0,100,1,1,0,0,1,0,3,13.8,"captivity","small","acceptable"
"860","Sorex_araneus","Eulipotyphla","Soricidae","Sorex","araneus",1168,8.195,0.208,75.06,312.9,325.97,334.15,21,6.56,1.9,42.251,0.44,25,524.782,0.075,0,1,70,30,0,2,2,0,0,1,0,2,3.2,"captivity","small","acceptable"
"863","Speothos_venaticus","Carnivora","Canidae","Speothos","venaticus",5146.5,6000,41.906,687.365,344.87,319.598,412.76,67.89,4.13,2,248.3,157.5,101.176,1559.12,15.639,0,1,0,100,0,3,2,0,0,1,0,5,14.1,"captivity","medium","acceptable"
"867","Spilogale_putorius","Carnivora","Mephitidae","Spilogale","putorius",3832.5,583.245,5.582,319.745,196.96,196.96,228.955,32.99,5,1.5,243.163,12.29,50,1257.257,4.991,0,1,30,40,30,3,1,0,0,1,0,4,10.5,"captivity","small","acceptable"
"877","Suricata_suricatta","Carnivora","Herpestidae","Suricata","suricatta",7519,776,10.81,317.855,377.37,365,365,77,3.86,1,364.75,29.75,44,1868.07,0.922,0,1,70,20,10,2,3,0,0,1,0,4,20.6,"captivity","large","high"
"881","Sylvicapra_grimmia","Cetartiodactyla","Bovidae","Sylvicapra","grimmia",5621,18500,76.611,1055.355,293.14,293.14,608.33,165,1,1.4,239.336,1581.45,125.915,1986.498,5.275,0,1,0,10,90,1,1,0,0,1,0,6,15.4,"captivity","medium","acceptable"
"883","Sylvilagus_floridanus","Lagomorpha","Leporidae","Sylvilagus","floridanus",3577,1178.595,7.56,400.5,106.05,123,134.55,28.696,5,3.9,30.204,37.165,24,1107.051,1.16,0,1,0,0,100,1,2,0,0,1,0,9,9.8,"captivity","small","acceptable"
"886","Sylvilagus_transitionalis","Lagomorpha","Leporidae","Sylvilagus","transitionalis",3577,1150,7.17,371,121.763,121.763,148,28,4.775,3.89,30.204,34.24,22.78,1089.485,1.145,0,1,0,0,100,1,2,0,0,1,0,3,9.3,"captivity","tiny","acceptable"
"888","Syncerus_caffer","Cetartiodactyla","Bovidae","Syncerus","caffer",10877,646332.99,583.286,2962.93,1683.65,1475,1460,333.355,1.08,0.4,636.439,43431.25,289,4169.76,37.244,0,1,0,0,100,1,2,0,0,1,0,5,32.8,"captivity","medium","acceptable"
"889","Tachyglossus_aculeatus","Monotremata","Tachyglossidae","Tachyglossus","aculeatus",18250,3169.5,22.08,375,556.85,552.425,576.71,19.86,1,0.58,1003.063,0.374,185.04,5687.02,11.439,1,1,100,0,0,3,2,0,0,1,0,5,49.5,"captivity","medium","acceptable"
"900","Taxidea_taxus","Carnivora","Mustelidae","Taxidea","taxus",9490,8000,53.537,639.175,365,223.705,407.4,43.8,3,0.74,364.75,93.5,51.132,3030.663,18.006,0,1,8,88,4,3,1,0,0,1,0,2,25,"captivity","small","acceptable"
